Ti,Fe,Ni,CSI,Ti2Ni
51.4,2.3,46.3,120162.4479,7.7233166
51.4,2.2,46.4,126389.8456,7.7262857
51.4,2.1,46.5,139666.6169,7.7287064
51.4,2,46.6,145161.4425,7.7311813
51.4,1.9,46.7,142837.7793,7.734098
51.5,0,48.5,55566.28167,8.1436075
51.5,0.1,48.4,59278.72751,8.154359
51.5,0.2,48.3,63229.98292,8.1637835
51.5,0.3,48.2,67510.38562,8.1724389
51.5,0.4,48.1,71917.04097,8.1799916
51.5,0.5,48,76611.66524,8.1866347
51.5,3.5,45,136470.8056,8.1894876
51.5,0.6,47.9,81750.77025,8.1925588
51.5,3.4,45.1,138230.8283,8.1932297
51.5,3.3,45.2,136353.9846,8.197567
51.5,0.7,47.8,86469.12418,8.1977343
51.5,3.2,45.3,130919.3065,8.2009429
51.5,0.8,47.7,92392.72941,8.2018695
51.5,3.1,45.4,132217.8464,8.2047579
51.5,0.9,47.6,97867.1303,8.2054289
51.5,2,46.5,161753.8662,8.2077906
51.5,1,47.5,103745.9606,8.2083736
51.5,3,45.5,129564.1128,8.2084946
51.5,1.9,46.6,156636.344,8.2088616
51.5,1.1,47.4,109739.9633,8.210684
51.5,1.8,46.7,149369.8758,8.2108034
51.5,1.7,46.8,140820.3623,8.2120415
51.5,2.9,45.6,130536.8653,8.2123249
51.5,1.2,47.3,115579.4642,8.2123268
51.5,1.6,46.9,138685.4,8.2129863
51.5,1.5,47,132800.4934,8.2130552
51.5,1.4,47.1,127881.8979,8.2132811
51.5,1.3,47.2,121808.2431,8.213618
51.5,2.8,45.7,134827.5825,8.2160894
51.5,2.7,45.8,124387.1194,8.2197935
51.5,2.6,45.9,131981.9037,8.2239615
51.5,2.5,46,135330.4435,8.2275423
51.5,2.4,46.1,131271.2436,8.2304385
51.5,2.3,46.2,137650.4264,8.2339598
51.5,2.2,46.3,143314.7728,8.2370974
51.5,2.1,46.4,152289.3962,8.2399279
51.6,0,48.4,52195.33907,8.6549387
51.6,0.1,48.3,55511.04311,8.6660852
51.6,0.2,48.2,59374.09432,8.6766031
51.6,0.3,48.1,63328.59639,8.6847537
51.6,0.4,48,67484.74215,8.6926733
51.6,0.5,47.9,71611.17489,8.6995912
51.6,3.4,45,155113.7977,8.7029031
51.6,0.6,47.8,76467.77444,8.7057077
51.6,3.3,45.1,150962.3626,8.7070723
51.6,0.7,47.7,81270.47165,8.7109957
51.6,3.2,45.2,148868.8145,8.7114903
51.6,2.3,46.1,162271.7765,8.7139254
51.6,0.8,47.6,86240.27941,8.7154069
51.6,3.1,45.3,153842.9735,8.715632
51.6,2.2,46.2,158808.2163,8.7158011
51.6,2.1,46.3,155006.6236,8.7179188
51.6,0.9,47.5,91528.77268,8.7191308
51.6,2,46.4,150851.8516,8.7199008
51.6,3,45.4,140602.661,8.7200275
51.6,1.9,46.5,146243.1514,8.7217553
51.6,1,47.4,96785.24993,8.7219518
51.6,1.8,46.6,139417.1207,8.7239471
51.6,2.9,45.5,145093.4828,8.72416
51.6,1.1,47.3,102106.6109,8.7243346
51.6,1.7,46.7,134396.5488,8.7252912
51.6,1.6,46.8,129250.5923,8.7258593
51.6,1.2,47.2,107978.9146,8.7259776
51.6,1.5,46.9,123979.8763,8.7266201
51.6,1.4,47,119176.2972,8.7269436
51.6,1.3,47.1,113545.6771,8.7277141
51.6,2.8,45.6,138641.1941,8.7283797
51.6,2.7,45.7,145862.5177,8.7325238
51.6,2.6,45.8,142187.9602,8.7365926
51.6,2.5,45.9,145254.2231,8.7405969
51.6,2.4,46,151435.8179,8.7448859
51.7,0,48.3,49246.97348,9.1695018
51.7,0.1,48.2,52388.3824,9.181048
51.7,3.3,45,158365.4397,9.1846676
51.7,3.2,45.1,159578.6807,9.1897434
51.7,0.2,48.1,55861.35429,9.1911118
51.7,3.1,45.2,160629.9633,9.1945533
51.7,3,45.3,161181.1982,9.1994156
51.7,0.3,48,59586.7507,9.2004412
51.7,2.9,45.4,161258.2407,9.2043439
51.7,0.4,47.9,63411.97833,9.2084457
51.7,2.8,45.5,160992.1547,9.2087246
51.7,2.7,45.6,160425.2825,9.2131877
51.7,0.5,47.8,67373.69298,9.2156144
51.7,2.6,45.7,158939.4424,9.2174411
51.7,2.5,45.8,157170.6284,9.2214908
51.7,0.6,47.7,71733.44157,9.2219037
51.7,2.4,45.9,154800.6812,9.2259409
51.7,0.7,47.6,75819.09202,9.2272773
51.7,2.3,46,152223.3098,9.2287295
51.7,2.2,46.1,148951.9127,9.2318626
51.7,0.8,47.5,80864.29315,9.2319741
51.7,2.1,46.2,145329.8297,9.2336463
51.7,0.9,47.4,85792.90986,9.2356732
51.7,2,46.3,141181.1958,9.2359009
51.7,1.9,46.4,136798.3203,9.2379366
51.7,1,47.3,90736.6195,9.2389056
51.7,1.8,46.5,130394.0144,9.2403704
51.7,1.1,47.2,95606.65369,9.2410693
51.7,1.7,46.6,115018.6267,9.241928
51.7,1.6,46.7,120755.9221,9.242585
51.7,1.2,47.1,101073.2293,9.2430063
51.7,1.5,46.8,115904.0348,9.2434877
51.7,1.4,46.9,111541.5122,9.2438804
51.7,1.3,47,106390.5427,9.2440959
51.8,0,48.2,46594.5711,9.6869337
51.8,0.1,48.1,49546.45506,9.6988364
51.8,3.2,45,151378.1483,9.7051344
51.8,0.2,48,52519.07451,9.7094101
51.8,3.1,45.1,152037.7356,9.7107391
51.8,3,45.2,152411.3814,9.7160495
51.8,0.3,47.9,56072.41816,9.7196787
51.8,2.9,45.3,152706.1646,9.7210891
51.8,2.8,45.4,152244.3379,9.7258583
51.8,0.4,47.8,59798.55392,9.7272031
51.8,2.7,45.5,149701.402,9.7307002
51.8,0.5,47.7,63582.17273,9.7348956
51.8,2.6,45.6,150104.6857,9.735297
51.8,2.5,45.7,148034.1899,9.7396642
51.8,0.6,47.6,67449.79482,9.7413419
51.8,2.4,45.8,145820.2111,9.7434894
51.8,0.7,47.5,71652.50977,9.7467805
51.8,2.3,45.9,143536.6056,9.7480796
51.8,2.2,46,140440.6338,9.7499828
51.8,0.8,47.4,76008.78711,9.7514669
51.8,2.1,46.1,136812.6072,9.752601
51.8,0.9,47.3,80448.93321,9.755369
51.8,2,46.2,132837.6283,9.7557275
51.8,1.9,46.3,128486.4413,9.7573085
51.8,1,47.2,85192.75687,9.7587494
51.8,1.8,46.4,122320.0971,9.7599318
51.8,1.1,47.1,89849.97605,9.7609736
51.8,1.7,46.5,118223.9417,9.7617037
51.8,1.2,47,94797.89436,9.7629263
51.8,1.6,46.6,113680.377,9.7630791
51.8,1.5,46.7,109051.1298,9.7633869
51.8,1.4,46.8,103786.8477,9.7638766
51.8,1.3,46.9,99631.49839,9.7646029
51.9,0,48.1,44173.01308,10.2073834
51.9,0.1,48,46554.04016,10.219363
51.9,3.1,45,144505.6695,10.2297144
51.9,0.2,47.9,49951.31437,10.230418
51.9,3,45.1,144935.9107,10.2354599
51.9,0.3,47.8,53185.44058,10.2402277
51.9,2.9,45.2,144877.4539,10.2408984
51.9,2.8,45.3,144623.1286,10.2463833
51.9,0.4,47.7,56604.87196,10.2488401
51.9,2.7,45.4,143439.158,10.251238
51.9,0.5,47.6,60116.27357,10.2567584
51.9,2.6,45.5,142392.452,10.2568392
51.9,2.5,45.6,140533.8233,10.260823
51.9,0.6,47.5,63610.26475,10.2640237
51.9,2.4,45.7,138257.141,10.265237
51.9,2.3,45.8,135298.6128,10.2690758
51.9,0.7,47.4,67643.9103,10.269106
51.9,2.2,45.9,132382.2438,10.271708
51.9,0.8,47.3,71745.96275,10.2740684
51.9,2.1,46,128962.9188,10.2745395
51.9,2,46.1,125063.9622,10.2772337
51.9,0.9,47.2,75821.74345,10.2781762
51.9,1.9,46.2,121285.7912,10.2803631
51.9,1,47.1,80286.34256,10.2813906
51.9,1.8,46.3,115411.0433,10.2825428
51.9,1.1,47,84328.92592,10.2839931
51.9,1.7,46.4,111446.0862,10.2844452
51.9,1.6,46.5,107100.4523,10.2852413
51.9,1.2,46.9,89204.23527,10.2856411
51.9,1.5,46.6,102683.3345,10.2862685
51.9,1.4,46.7,98560.47339,10.2872307
51.9,1.3,46.8,93965.32753,10.2876326
52,0,48,42036.79466,10.7314313
52,0.1,47.9,44684.50046,10.7426676
52,0.2,47.8,47512.1908,10.7541909
52,3,45,138210.9033,10.758187
52,0.3,47.7,50439.25953,10.7641051
52,2.9,45.1,137647.0005,10.7646939
52,2.8,45.2,137159.5181,10.7694988
52,2.7,45.3,136170.217,10.7750343
52,2.6,45.4,134599.4051,10.7799063
52,0.5,47.5,56988.71156,10.7810366
52,2.5,45.5,132808.9201,10.7855129
52,0.6,47.4,60458.9082,10.7880143
52,2.4,45.6,130491.3649,10.7895014
52,2.3,45.7,128008.651,10.7931534
52,0.7,47.3,63861.57134,10.7941483
52,2.2,45.8,124996.7817,10.7963681
52,0.4,47.6,53668.82904,10.7990422
52,0.8,47.2,67872.63597,10.7993862
52,2.1,45.9,121875.0859,10.7994202
52,2,46,118019.5699,10.8022984
52,0.9,47.1,71820.92987,10.8033669
52,1.9,46.1,113063.6747,10.8056578
52,1,47,75844.79916,10.806713
52,1.8,46.2,106685.2776,10.8079839
52,1.1,46.9,80090.50304,10.8093884
52,1.7,46.3,105277.5041,10.8099924
52,1.2,46.8,84309.81734,10.8113718
52,1.6,46.4,101003.2721,10.8115704
52,1.4,46.6,93114.45787,10.8125044
52,1.5,46.5,97056.67158,10.8126471
52,1.3,46.7,81176.19452,10.8133752
52.1,0,47.9,39986.51483,11.255745
52.1,0.1,47.8,42561.9223,11.268716
52.1,0.2,47.7,45136.19275,11.2803543
52.1,2.9,45,131425.0626,11.2896209
52.1,0.3,47.6,47931.7541,11.2918636
52.1,2.8,45.1,130448.9705,11.2954436
52.1,0.4,47.5,50979.45471,11.3000433
52.1,2.7,45.2,129568.9543,11.3013017
52.1,2.6,45.3,128135.292,11.30751
52.1,0.5,47.4,54024.76858,11.3083248
52.1,2.5,45.4,116810.6443,11.3120111
52.1,0.6,47.3,57318.79509,11.3157201
52.1,2.4,45.5,124210.5548,11.3165208
52.1,2.3,45.6,121012.6191,11.3203351
52.1,0.7,47.2,60706.30092,11.3218568
52.1,2.2,45.7,118759.1132,11.3237865
52.1,0.8,47.1,64003.80813,11.3270243
52.1,2.1,45.8,115414.0307,11.3271036
52.1,2,45.9,111900.093,11.3307706
52.1,0.9,47,67370.46911,11.3315361
52.1,1.9,46,106931.3284,11.333584
52.1,1,46.9,71997.36613,11.3350064
52.1,1.8,46.1,94497.29239,11.3361377
52.1,1.1,46.8,75488.25175,11.3377469
52.1,1.7,46.2,99736.06042,11.338239
52.1,1.6,46.3,95709.84795,11.3391726
52.1,1.2,46.7,79917.2702,11.3397419
52.1,1.5,46.4,91872.44049,11.3410829
52.1,1.4,46.5,88274.43411,11.3413417
52.1,1.3,46.6,84072.31246,11.3417341
52.2,0,47.8,38183.5667,11.7850313
52.2,0.1,47.7,40584.67503,11.7968183
52.2,0.2,47.6,43123.40962,11.8098412
52.2,0.3,47.5,45715.28335,11.8197264
52.2,2.8,45,124330.753,11.824494
52.2,0.4,47.4,48426.2087,11.8294021
52.2,2.7,45.1,123352.0726,11.8309852
52.2,2.6,45.2,121959.776,11.8360386
52.2,0.5,47.3,51518.52178,11.8378131
52.2,2.5,45.3,120259.6098,11.8414685
52.2,0.6,47.2,54394.32066,11.8452667
52.2,2.4,45.4,118406.5187,11.8465568
52.2,2.3,45.5,115754.6982,11.8509843
52.2,0.7,47.1,57797.95026,11.8517269
52.2,2.2,45.6,112936.9735,11.853861
52.2,2.1,45.7,109593.84,11.8573449
52.2,0.8,47,61075.47962,11.8575133
52.2,2,45.8,96142.64116,11.8605479
52.2,0.9,46.9,64647.90953,11.8627216
52.2,1.9,45.9,92949.3092,11.8635043
52.2,1,46.8,68204.97754,11.8654535
52.2,1.8,46,98094.73183,11.8668424
52.2,1.1,46.7,71985.56691,11.8682608
52.2,1.7,46.1,94584.33855,11.8690607
52.2,1.2,46.6,75750.53902,11.870622
52.2,1.6,46.2,90678.5386,11.870801
52.2,1.5,46.3,87161.70929,11.8712908
52.2,1.3,46.5,79778.69075,11.8717728
52.2,1.4,46.4,83455.66143,11.8732418
52.3,0,47.7,36522.59262,12.3138661
52.3,0.1,47.6,38834.39802,12.3274528
52.3,0.2,47.5,41195.13251,12.3398397
52.3,0.3,47.4,43684.27794,12.3510502
52.3,0.4,47.3,46346.07737,12.3612761
52.3,2.7,45,118033.5961,12.362218
52.3,2.6,45.1,116711.9883,12.3678382
52.3,0.5,47.2,49066.27552,12.370113
52.3,2.5,45.2,114669.2527,12.3734873
52.3,0.6,47.1,52027.06746,12.3776067
52.3,2.4,45.3,112537.9801,12.378757
52.3,2.3,45.4,109954.7417,12.3825845
52.3,0.7,47,55003.85561,12.3843937
52.3,2.2,45.5,107421.7654,12.3864705
52.3,0.8,46.9,58260.06301,12.3900716
52.3,2.1,45.6,104430.3007,12.3908654
52.3,2,45.7,99955.35414,12.3934913
52.3,0.9,46.8,61653.95657,12.3945967
52.3,1.9,45.8,96653.70909,12.3965584
52.3,1,46.7,65037.46605,12.3986861
52.3,1.8,45.9,93354.54592,12.4000624
52.3,1.1,46.6,68424.81307,12.4015522
52.3,1.7,46,89781.26453,12.4024116
52.3,1.2,46.5,72073.39133,12.4035464
52.3,1.6,46.1,79089.38236,12.4042195
52.3,1.5,46.2,83016.53651,12.4046126
52.3,1.3,46.4,75438.40127,12.4050181
52.3,1.4,46.3,79284.54397,12.4055501
52.4,0,47.6,34990.98844,12.8461806
52.4,0.1,47.5,37118.2609,12.8605588
52.4,0.2,47.4,39331.35179,12.8732891
52.4,0.3,47.3,41742.12748,12.8846984
52.4,2.6,45,110301.7182,12.9025785
52.4,0.5,47.1,46936.57391,12.904068
52.4,2.5,45.1,109497.0393,12.9084208
52.4,0.6,47,49621.62128,12.9123279
52.4,2.4,45.2,107347.3362,12.9131599
52.4,2.3,45.3,105407.1224,12.91744
52.4,0.7,46.9,52649.92368,12.9190494
52.4,2.2,45.4,102577.0004,12.9214992
52.4,0.4,47.2,44255.34162,12.9245556
52.4,0.8,46.8,55621.93567,12.924974
52.4,2.1,45.5,99645.89178,12.9252854
52.4,2,45.6,95255.74884,12.929635
52.4,0.9,46.7,58664.61711,12.930066
52.4,1.9,45.7,92064.10266,12.9320286
52.4,1,46.6,61946.20397,12.9338945
52.4,1.8,45.8,88886.87131,12.9357344
52.4,1.1,46.5,65213.84567,12.936813
52.4,1.7,45.9,85623.16054,12.9371977
52.4,1.2,46.4,68651.93677,12.9391963
52.4,1.6,46,82266.53033,12.939934
52.4,1.5,46.1,79342.26227,12.9403555
52.4,1.4,46.2,75838.98096,12.9414341
52.4,1.3,46.3,72256.91775,12.9414663
52.5,0,47.5,33626.74278,13.3819817
52.5,0.1,47.4,35615.73057,13.3953119
52.5,0.2,47.3,37738.08267,13.40874
52.5,0.3,47.2,40064.38258,13.4203625
52.5,0.4,47.1,42363.47557,13.4313076
52.5,0.5,47,44866.98687,13.4407243
52.5,2.5,45,104785.9318,13.4453646
52.5,0.6,46.9,47548.13267,13.4489715
52.5,2.4,45.1,102642.6272,13.450142
52.5,2.3,45.2,100703.8841,13.4546101
52.5,0.7,46.8,50247.69245,13.4559955
52.5,2.2,45.3,97959.80158,13.4596455
52.5,0.8,46.7,53094.91517,13.4621683
52.5,2.1,45.4,95045.45346,13.4627877
52.5,2,45.5,92167.36583,13.4664426
52.5,0.9,46.6,55856.74341,13.4679417
52.5,1.9,45.6,87978.40162,13.4697875
52.5,1,46.5,59115.05083,13.4713754
52.5,1.8,45.7,84980.8836,13.4727412
52.5,1.1,46.4,62334.58101,13.4747583
52.5,1.7,45.8,81790.8845,13.4751234
52.5,1.2,46.3,65600.30191,13.4767245
52.5,1.6,45.9,78650.08548,13.4779498
52.5,1.5,46,75011.58881,13.478317
52.5,1.3,46.2,68878.06292,13.4784964
52.5,1.4,46.1,72332.51484,13.4792067
52.6,0,47.4,32324.89591,13.9176362
52.6,0.1,47.3,34232.30931,13.9323804
52.6,0.2,47.2,36283.43581,13.9460955
52.6,0.3,47.1,38399.34312,13.9583116
52.6,0.4,47,40666.28397,13.9693773
52.6,0.5,46.9,42999.59047,13.9788285
52.6,0.6,46.8,45537.9821,13.9874488
52.6,2.4,45,98391.43844,13.9893802
52.6,0.7,46.7,48143.85807,13.9947714
52.6,2.3,45.1,96390.99479,13.994945
52.6,2.2,45.2,93691.27869,13.9993144
52.6,0.8,46.6,50874.2291,14.001175
52.6,2.1,45.3,91084.09763,14.0033493
52.6,2,45.4,79595.95018,14.0062947
52.6,0.9,46.5,53699.34386,14.006625
52.6,1.9,45.5,84309.89842,14.0096914
52.6,1,46.4,56626.65433,14.011087
52.6,1.8,45.6,81178.40581,14.0136885
52.6,1.1,46.3,59700.33232,14.0140916
52.6,1.7,45.7,78281.0773,14.0152213
52.6,1.2,46.2,62672.06401,14.0168949
52.6,1.6,45.8,68756.36007,14.0181131
52.6,1.4,46,69147.25943,14.0192091
52.6,1.3,46.1,65958.73972,14.0195722
52.6,1.5,45.9,72419.48684,14.0200206
52.7,0,47.3,31116.22763,14.4562341
52.7,0.1,47.2,32630.84358,14.4713087
52.7,0.2,47.1,34889.97744,14.4852795
52.7,0.3,47,36889.34454,14.4980772
52.7,0.5,46.8,41326.90473,14.5195371
52.7,0.6,46.7,43743.58588,14.5280872
52.7,2.3,45,92316.79728,14.5355778
52.7,0.7,46.6,46149.93999,14.5361394
52.7,2.2,45.1,89834.14643,14.5401016
52.7,0.8,46.5,48796.40435,14.5423394
52.7,2.1,45.2,86048.80297,14.5452364
52.7,0.4,46.9,38961.24941,14.5458387
52.7,0.9,46.4,51441.57425,14.5479615
52.7,2,45.3,83385.83255,14.5482733
52.7,1,46.3,53661.06428,14.5525306
52.7,1.9,45.4,80648.03292,14.5527882
52.7,1.8,45.5,77841.01951,14.5558605
52.7,1.1,46.2,57156.9593,14.5560087
52.7,1.7,45.6,74915.01578,14.5584199
52.7,1.2,46.1,60156.84738,14.5588168
52.7,1.6,45.7,72341.37981,14.5603832
52.7,1.3,46,63192.54995,14.5604724
52.7,1.5,45.8,69319.14777,14.5606439
52.7,1.4,45.9,66277.07288,14.5613948
52.8,0,47.2,29954.14544,14.9974877
52.8,0.1,47.1,31767.24749,15.0124509
52.8,0.2,47,33616.80769,15.0266347
52.8,0.3,46.9,35535.19727,15.0395785
52.8,0.4,46.8,37580.88452,15.0512249
52.8,0.5,46.7,39590.94671,15.0619713
52.8,0.6,46.6,41963.32136,15.0708579
52.8,0.7,46.5,44244.86934,15.078763
52.8,2.2,45,86126.28483,15.0838777
52.8,0.8,46.4,46927.20509,15.0856282
52.8,2.1,45.1,83530.628,15.08823
52.8,0.9,46.3,49488.80111,15.0914153
52.8,2,45.2,80101.15629,15.0922863
52.8,1.9,45.3,77342.88525,15.0958893
52.8,1,46.2,52064.52331,15.0960834
52.8,1.1,46.1,54781.74997,15.0996003
52.8,1.8,45.4,71358.8447,15.1000598
52.8,1.7,45.5,65754.30837,15.1016464
52.8,1.2,46,57649.95246,15.1023946
52.8,1.6,45.6,69477.46839,15.1046259
52.8,1.4,45.8,63532.19846,15.1052422
52.8,1.3,45.9,60649.50536,15.1054666
52.8,1.5,45.7,66610.58298,15.1057566
52.9,0,47.1,28956.39501,15.5387807
52.9,0.1,47,30625.49026,15.5553137
52.9,0.2,46.9,32297.63359,15.5696878
52.9,0.3,46.8,34246.71313,15.5831947
52.9,0.4,46.7,36201.20999,15.5953319
52.9,0.5,46.6,38264.22367,15.6060466
52.9,0.6,46.5,40027.06971,15.6152711
52.9,0.7,46.4,42719.21739,15.6234489
52.9,0.8,46.3,45059.82046,15.6305307
52.9,2.1,45,80477.12995,15.6341252
52.9,0.9,46.2,47545.89394,15.6364711
52.9,2,45.1,76825.81218,15.6392959
52.9,1,46.1,50017.20838,15.6417067
52.9,1.9,45.2,74195.03675,15.6419519
52.9,1.1,46,52775.90268,15.645255
52.9,1.8,45.3,71741.48712,15.6461686
52.9,1.2,45.9,55519.92557,15.648512
52.9,1.7,45.4,68999.64543,15.6488613
52.9,1.3,45.8,58137.5537,15.6504935
52.9,1.6,45.5,66746.27562,15.6508086
52.9,1.4,45.7,60967.60439,15.6511561
52.9,1.5,45.6,64013.28552,15.6525438
53,0,47,27950.5581,16.0830638
53,0.1,46.9,29574.77189,16.1011592
53,0.2,46.8,31227.99423,16.1148241
53,0.3,46.7,33020.66498,16.1284244
53,0.4,46.6,34902.78049,16.1410452
53,0.5,46.5,36847.96345,16.1521563
53,0.6,46.4,38980.8226,16.1617258
53,0.7,46.3,41127.77543,16.1701707
53,0.8,46.2,43349.57617,16.1774568
53,0.9,46.1,45813.46773,16.1835433
53,2,45,74062.0678,16.1861195
53,1,46,48190.62673,16.1888798
53,1.9,45.1,71537.03054,16.1899364
53,1.1,45.9,50682.92819,16.192942
53,1.8,45.2,67455.57994,16.1942034
53,1.2,45.8,48773.29294,16.1961878
53,1.7,45.3,63607.73323,16.1969259
53,1.3,45.7,56002.49015,16.1980886
53,1.6,45.4,63860.27451,16.1988769
53,1.5,45.5,61495.27756,16.1989414
53,1.4,45.6,58782.11393,16.1991172
53.1,0,46.9,26986.4557,16.6284654
53.1,0.1,46.8,28595.00729,16.6459586
53.1,0.2,46.7,30176.86351,16.6615545
53.1,0.3,46.6,31947.69954,16.6756786
53.1,0.4,46.5,33689.93855,16.6882891
53.1,0.5,46.4,35611.58221,16.699804
53.1,0.6,46.3,37568.77876,16.7096933
53.1,0.7,46.2,39670.56832,16.7184016
53.1,0.8,46.1,41841.04566,16.7258867
53.1,0.9,46,44173.39809,16.7326134
53.1,1,45.9,46442.53641,16.7380426
53.1,1.9,45,68892.24388,16.7397186
53.1,1.1,45.8,48890.35064,16.7421275
53.1,1.8,45.1,66395.1067,16.7441456
53.1,1.2,45.7,51327.93214,16.7453512
53.1,1.7,45.2,63924.59277,16.745679
53.1,1.3,45.6,53956.6588,16.7476848
53.1,1.6,45.3,61694.99615,16.7486585
53.1,1.5,45.4,59127.06818,16.7490247
53.1,1.4,45.5,56417.40696,16.7490979
53.2,0,46.8,26176.15422,17.1759189
53.2,0.1,46.7,27631.45308,17.1936045
53.2,0.2,46.6,29202.3992,17.2097991
53.2,0.3,46.5,30806.30947,17.2244552
53.2,0.4,46.4,29801.54327,17.2375052
53.2,0.5,46.3,34290.85304,17.248902
53.2,0.6,46.2,36356.10608,17.2596316
53.2,0.7,46.1,38308.0665,17.2685943
53.2,0.8,46,40425.17628,17.2762696
53.2,0.9,45.9,42562.17576,17.2831398
53.2,1,45.8,44790.63283,17.2886423
53.2,1.1,45.7,46851.9373,17.2932777
53.2,1.8,45,64011.05308,17.2956939
53.2,1.2,45.6,49444.49304,17.2964683
53.2,1.7,45.1,61657.93112,17.29837
53.2,1.3,45.5,51945.16028,17.2987159
53.2,1.4,45.4,54486.42089,17.2999938
53.2,1.6,45.2,59557.12044,17.3001784
53.2,1.5,45.3,56996.66554,17.3008073
53.3,0,46.7,25307.86881,17.7248575
53.3,0.1,46.6,26708.20275,17.7432199
53.3,0.2,46.5,28262.00673,17.7608472
53.3,0.3,46.4,28738.86269,17.7746691
53.3,0.4,46.3,31482.71742,17.7882289
53.3,0.5,46.2,33251.82924,17.7999372
53.3,0.6,46.1,35132.71595,17.810984
53.3,0.7,46,37004.97557,17.8201822
53.3,0.8,45.9,38628.72899,17.8280463
53.3,0.9,45.8,41164.97729,17.8350499
53.3,1,45.7,43299.27307,17.8411696
53.3,1.1,45.6,45406.55361,17.8458238
53.3,1.2,45.5,47763.23027,17.8489654
53.3,1.3,45.4,50173.32767,17.8516698
53.3,1.7,45,59528.26782,17.8517051
53.3,1.4,45.3,52652.96451,17.8533628
53.3,1.6,45.1,57205.88684,17.8535282
53.3,1.5,45.2,55015.63835,17.8539936
53.4,0,46.6,24595.75752,18.2758117
53.4,0.1,46.5,25969.36042,18.2942738
53.4,0.2,46.4,27356.72781,18.3111677
53.4,0.3,46.3,28868.68256,18.3263224
53.4,0.4,46.2,30448.44426,18.3402087
53.4,0.5,46.1,32231.37935,18.3528839
53.4,0.6,46,33976.73428,18.3636978
53.4,0.7,45.9,35830.02708,18.3731306
53.4,0.8,45.8,37626.41148,18.3817197
53.4,0.9,45.7,39792.00091,18.3888486
53.4,1,45.6,41829.66498,18.3950427
53.4,1.1,45.5,43541.0641,18.3997058
53.4,1.2,45.4,46220.74678,18.4033586
53.4,1.3,45.3,48456.43382,18.4065481
53.4,1.4,45.2,50838.06476,18.4080972
53.4,1.6,45,55472.83916,18.4084549
53.4,1.5,45.1,53201.5601,18.4085367
53.5,0,46.5,23873.31491,18.8275871
53.5,0.1,46.4,25149.84075,18.846715
53.5,0.2,46.3,26554.53632,18.8641285
53.5,0.3,46.2,28027.29896,18.8797731
53.5,0.5,46,31187.44606,18.9066123
53.5,0.6,45.9,32880.37531,18.9182798
53.5,0.4,46.1,29546.36608,18.9269503
53.5,0.7,45.8,34698.51413,18.927948
53.5,0.8,45.7,36538.29034,18.9367049
53.5,0.9,45.6,38518.65924,18.9445241
53.5,1,45.5,40473.29385,18.9507857
53.5,1.1,45.4,42452.06686,18.9554498
53.5,1.2,45.3,44665.33892,18.9596346
53.5,1.3,45.2,46850.41361,18.9621518
53.5,1.4,45.1,49230.59749,18.9641368
53.5,1.5,45,51442.76638,18.9649694
53.6,0,46.4,23169.09519,19.3818179
53.6,0.1,46.3,24416.14868,19.4020849
53.6,0.2,46.2,25729.83923,19.4184486
53.6,0.3,46.1,27169.17794,19.4345675
53.6,0.4,46,28535.06963,19.4493574
53.6,0.5,45.9,30236.94568,19.4621789
53.6,0.6,45.8,31934.16354,19.4741377
53.6,0.7,45.7,33585.05639,19.4840214
53.6,0.8,45.6,35342.18607,19.4935393
53.6,0.9,45.5,37300.98072,19.500887
53.6,1,45.4,39179.80613,19.5077955
53.6,1.1,45.3,41249.63591,19.5130454
53.6,1.2,45.2,43307.03533,19.5171878
53.6,1.3,45.1,45390.80259,19.5201948
53.6,1.4,45,47567.22165,19.523332
53.7,0,46.3,22530.7459,19.9357051
53.7,0.1,46.2,23727.48073,19.9560991
53.7,0.2,46.1,25017.5326,19.9740402
53.7,0.3,46,26379.43789,19.9906295
53.7,0.4,45.9,27804.01451,20.0058306
53.7,0.5,45.8,29348.84389,20.0189863
53.7,0.6,45.7,30940.63464,20.032616
53.7,0.7,45.6,32615.44029,20.0419179
53.7,0.8,45.5,34290.90965,20.0510074
53.7,0.9,45.4,36184.61636,20.0590535
53.7,1,45.3,37972.77107,20.0660219
53.7,1.1,45.2,39949.00442,20.0712619
53.7,1.2,45.1,41923.06271,20.0759671
53.7,1.3,45,43984.0007,20.078856
53.8,0,46.2,21919.72117,20.4919828
53.8,0.1,46.1,23056.72376,20.5141567
53.8,0.2,46,24318.23831,20.5314493
53.8,0.3,45.9,25675.8938,20.548511
53.8,0.4,45.8,27058.24561,20.5635019
53.8,0.5,45.7,28541.16053,20.5775893
53.8,0.6,45.6,30076.10847,20.5900986
53.8,0.7,45.5,31671.84345,20.6010134
53.8,0.8,45.4,33323.87286,20.6108695
53.8,0.9,45.3,35068.70441,20.6190203
53.8,1,45.2,36859.84017,20.6260401
53.8,1.1,45.1,38719.39794,20.6318948
53.8,1.2,45,40757.32668,20.6359119
53.9,0,46.1,21289.44436,21.0494543
53.9,0.1,46,22449.8435,21.070472
53.9,0.2,45.9,23677.58136,21.0894419
53.9,0.3,45.8,24991.41393,21.1069558
53.9,0.4,45.7,26287.43686,21.1229521
53.9,0.5,45.6,27719.87133,21.1373702
53.9,0.6,45.5,29113.84012,21.1501502
53.9,0.7,45.4,30720.78124,21.1612592
53.9,0.8,45.3,32363.5847,21.1712726
